Location,Date,Round,player,opponent,player_rank,opponent_rank,player_hand,player_ht,player_nationality,player_age,opponent_hand,opponent_ht,opponent_nationality,opponent_age,win
Montreal,08/09/2017,Round of 64,Sock J.,Ferrer D.,17.0,33.0,R,185.0,USA,26.3,R,175.0,ESP,36.7,0
Montreal,08/09/2017,Round of 64,Zverev M.,Dimitrov G.,26.0,11.0,L,190.0,GER,31.3,R,188.0,BUL,27.6,0
Montreal,08/09/2017,Round of 64,Lorenzi P.,Kyrgios N.,38.0,24.0,R,183.0,ITA,37.0,R,193.0,AUS,23.6,0
Montreal,08/09/2017,Round of 64,Gasquet R.,Zverev A.,29.0,8.0,R,185.0,FRA,32.8,R,198.0,GER,21.7,0
Montreal,08/09/2017,Round of 64,Coric B.,Nadal R.,55.0,2.0,R,188.0,CRO,22.1,L,185.0,ESP,32.6,0
Montreal,08/10/2017,Round of 64,Goffin D.,Chung H.,13.0,56.0,R,180.0,BEL,28.0,R,188.0,KOR,22.6,0
Montreal,08/10/2017,Round of 64,Raonic M.,Mannarino A.,10.0,42.0,R,196.0,CAN,28.0,L,183.0,FRA,30.6,0
Montreal,08/10/2017,Round of 32,Donaldson J.,Schwartzman D.,66.0,36.0,R,188.0,USA,22.3,R,170.0,ARG,26.3,0
Montreal,08/10/2017,Round of 32,Dimitrov G.,Haase R.,11.0,52.0,R,188.0,BUL,27.6,R,190.0,NED,31.7,0
Montreal,08/10/2017,Round of 32,Ferrer D.,Federer R.,33.0,3.0,R,175.0,ESP,36.7,R,185.0,SUI,37.4,0
