Round,player,opponent,player_hand,player_ht,player_age,opponent_hand,opponent_ht,opponent_age,win,player_rank,opponent_rank,is_player_home_country,is_opponent_home_country,year,month,day,dayofweek
Semifinals,Djokovic N.,Verdasco F.,R,188.0,31.6,L,188.0,35.1,1,1.0,26.0,False,False,2017,1,6,4
Semifinals,Murray A.,Berdych T.,R,190.0,31.6,R,196.0,33.2,1,1.0,10.0,False,False,2017,1,6,4
The Final,Djokovic N.,Murray A.,R,188.0,31.6,R,190.0,31.6,1,1.0,1.0,False,False,2017,1,7,5
Round of 128,Johnson S.,Robert S.,R,188.0,29.1,R,185.0,39.6,1,25.0,53.0,False,False,2017,1,8,6
Round of 128,Haase R.,Tearney F.,R,190.0,31.7,U,183.0,34.0,1,35.0,447.0,False,True,2017,1,9,0
Round of 128,Vesely J.,Zeballos H.,L,198.0,25.4,L,188.0,39.0,1,46.0,49.0,False,False,2017,1,9,0
Round of 128,Jaziri M.,Schwartzman D.,R,185.0,34.9,R,170.0,26.3,1,42.0,9.0,False,False,2017,1,9,0
Round of 128,Lopez F.,Venus M.,L,188.0,37.4,R,191.0,32.2,1,25.0,737.3449612403101,False,True,2017,1,9,0
Round of 128,Brown D.,Mmoh M.,R,196.0,34.5,R,188.0,20.9,1,66.0,103.0,False,False,2017,1,9,0
Round of 128,Klein B.,Bagnis F.,R,188.0,35.0,L,183.0,28.9,1,232.0,55.0,False,False,2017,1,9,0
Round of 128,Harrison R.,Garcia-Lopez G.,R,183.0,26.6,R,185.0,41.0,1,40.0,65.0,False,False,2017,1,9,0
Round of 128,Sousa J.,Ramos-Vinolas A.,R,185.0,29.7,L,188.0,36.0,1,35.0,17.0,False,False,2017,1,9,0
Round of 128,Baghdatis M.,Mannarino A.,R,183.0,33.6,L,183.0,30.5,1,36.0,22.0,False,False,2017,1,10,1
Round of 64,Haase R.,Ferrer D.,R,190.0,31.7,R,175.0,36.7,1,35.0,21.0,False,False,2017,1,10,1
Round of 64,Sousa J.,Klein B.,R,185.0,29.7,R,188.0,35.0,1,35.0,232.0,False,False,2017,1,11,2
Round of 64,Isner J.,Jaziri M.,R,206.0,33.7,R,185.0,34.9,1,9.0,42.0,False,False,2017,1,11,2
Round of 64,Vesely J.,Statham J.,L,198.0,25.4,R,183.0,31.7,1,46.0,360.0,False,True,2017,1,11,2
Round of 64,Baghdatis M.,Brown D.,R,183.0,33.6,R,196.0,34.5,1,36.0,66.0,False,False,2017,1,11,2
Round of 64,Chardy J.,Lopez F.,R,188.0,31.8,L,188.0,37.3,1,35.0,25.0,False,False,2017,1,11,2
Round of 64,Sock J.,Harrison R.,R,185.0,26.9,R,183.0,26.6,1,8.0,40.0,False,False,2017,1,11,2
Quarterfinals,Sousa J.,Haase R.,R,185.0,29.7,R,190.0,31.7,1,35.0,35.0,False,False,2017,1,11,2
Quarterfinals,Johnson S.,Isner J.,R,188.0,29.1,R,206.0,33.7,1,25.0,9.0,False,False,2017,1,12,3
Quarterfinals,Baghdatis M.,Vesely J.,R,183.0,33.6,L,198.0,25.4,1,36.0,46.0,False,False,2017,1,12,3
Quarterfinals,Sock J.,Chardy J.,R,185.0,26.9,R,188.0,31.8,1,8.0,35.0,False,False,2017,1,12,3
Semifinals,Sousa J.,Baghdatis M.,R,185.0,29.7,R,183.0,33.6,1,35.0,36.0,False,False,2017,1,13,4
Semifinals,Sock J.,Johnson S.,R,185.0,26.9,R,188.0,29.0,1,8.0,25.0,False,False,2017,1,13,4
The Final,Sock J.,Sousa J.,R,185.0,26.9,R,185.0,29.7,1,8.0,35.0,False,False,2017,1,14,5
Round of 128,Mahut N.,Bellucci T.,R,190.0,37.3,L,188.0,37.0,1,38.0,53.0,False,False,2017,1,8,6
Round of 128,Barton M.,Edmund K.,R,191.0,33.0,R,188.0,23.9,1,198.0,14.0,False,False,2017,1,9,0
Round of 128,Evans D.,Monteiro T.,R,175.0,28.6,L,183.0,24.5,1,28.0,74.0,False,False,2017,1,9,0
Round of 128,Elias G.,O'Connell C.,R,183.0,34.0,R,183.0,30.0,1,77.0,231.0,False,False,2017,1,9,0
Round of 128,Lorenzi P.,Mayer F.,R,183.0,37.1,R,191.0,41.0,1,33.0,46.0,False,False,2017,1,9,0
Round of 128,Kohlschreiber P.,Fognini F.,R,178.0,35.2,R,178.0,31.6,1,22.0,9.0,False,False,2017,1,9,0
Round of 128,Zverev M.,Almagro N.,L,190.0,31.5,R,183.0,39.0,1,26.0,42.0,False,False,2017,1,10,1
Round of 128,Granollers M.,Giraldo S.,R,190.0,32.8,R,188.0,31.3,1,36.0,90.0,False,False,2017,1,10,1
Round of 128,Thompson J.,Basilashvili N.,R,183.0,24.6,R,185.0,26.8,1,43.0,16.0,False,False,2017,1,10,1
Round of 64,Cuevas P.,Mahut N.,R,180.0,33.0,R,190.0,37.0,1,22.0,38.0,False,False,2017,1,11,2
Round of 64,Muller G.,Barton M.,L,193.0,41.0,R,191.0,33.0,1,21.0,198.0,False,False,2017,1,11,2
Round of 64,Kohlschreiber P.,Thompson J.,R,178.0,35.2,R,183.0,24.6,1,22.0,43.0,False,False,2017,1,11,2
Round of 64,Evans D.,Granollers M.,R,175.0,28.6,R,190.0,32.7,1,28.0,36.0,False,False,2017,1,11,2
Round of 64,Troicki V.,Lorenzi P.,R,193.0,32.9,R,183.0,37.0,1,29.0,33.0,False,False,2017,1,11,2
Round of 64,Thiem D.,Elias G.,R,185.0,25.3,R,183.0,34.0,1,3.0,77.0,False,False,2017,1,11,2
Quarterfinals,Muller G.,Cuevas P.,L,193.0,41.0,R,180.0,33.0,1,21.0,22.0,False,False,2017,1,12,3
Quarterfinals,Troicki V.,Kohlschreiber P.,R,193.0,32.9,R,178.0,35.2,1,29.0,22.0,False,False,2017,1,12,3
Quarterfinals,Evans D.,Thiem D.,R,175.0,28.6,R,185.0,25.3,1,28.0,3.0,False,False,2017,1,12,3
Semifinals,Muller G.,Troicki V.,L,193.0,41.0,R,193.0,32.9,1,21.0,29.0,False,False,2017,1,13,4
The Final,Muller G.,Evans D.,L,193.0,41.0,R,175.0,28.6,1,21.0,28.0,False,False,2017,1,14,5
Round of 128,Chardy J.,Almagro N.,R,188.0,31.8,R,183.0,39.0,1,35.0,42.0,False,False,2017,1,16,0
Round of 128,Troicki V.,Dzumhur D.,R,193.0,32.9,R,172.0,26.6,1,29.0,23.0,False,False,2017,1,16,0
Round of 128,Harrison R.,Mahut N.,R,183.0,26.6,R,190.0,37.0,1,40.0,38.0,True,False,2017,1,16,0
Round of 128,Zverev M.,Garcia-Lopez G.,L,190.0,31.5,R,185.0,41.0,1,26.0,65.0,False,False,2017,1,16,0
Round of 128,Querrey S.,Halys Q.,R,198.0,31.2,R,191.0,22.5,1,11.0,115.0,True,False,2017,1,16,0
Round of 128,Berdych T.,Vanni L.,R,196.0,33.2,R,198.0,33.6,1,10.0,122.0,False,False,2017,1,16,0
Round of 128,Tomic B.,Bellucci T.,R,193.0,26.3,L,188.0,37.0,1,26.0,53.0,False,False,2017,1,16,0
Round of 128,Isner J.,Kravchuk K.,R,206.0,33.7,R,191.0,39.0,1,9.0,85.0,True,False,2017,1,16,0
Round of 128,Cilic M.,Janowicz J.,R,198.0,30.2,R,203.0,34.0,1,3.0,141.0,False,False,2017,1,16,0
Round of 128,Jaziri M.,Soeda G.,R,185.0,34.9,R,178.0,35.0,1,42.0,112.0,False,False,2017,1,16,0
Round of 128,Murray A.,Marchenko I.,R,190.0,31.6,R,185.0,32.0,1,1.0,74.0,False,False,2017,1,16,0
